λ	T
582.6	0.990336367295369
582.8	0.991829350581728
583	0.993261246085544
583.2	0.994284072571353
583.4	0.994674648622322
583.6	0.994389890568971
583.8	0.993569410941904
584	0.992488093983675
584.2	0.991476115425736
584.4	0.990831067762306
584.6	0.99074521528786
584.8	0.991263448076131
585	0.992278342699292
585.2	0.993560542189
585.4	0.994816065797248
585.6	0.995757029398954
585.8	0.996169299743909
586	0.995960928864867
586.2	0.995179922677381
586.4	0.993998170863776
586.6	0.992667483361157
586.8	0.991460318270241
587	0.990610000890582
587.2	0.990263256703349
587.4	0.990453458170825
587.6	0.991098019152391
587.8	0.992018931629362
588	0.992981725321086
588.2	0.993745068112459
588.4	0.994111079883865
588.6	0.993965923746717
588.8	0.993302065718135
589	0.992217769220705
589.2	0.990894831730017
589.4	0.989560534840563
589.6	0.988442733400218
589.8	0.987727381004745
590	0.987526069127219
590.2	0.987858382113201
590.4	0.988650972256543
590.6	0.989752718559584
590.8	0.990963053932158
591	0.992068624686718
591.2	0.992881922983214
591.4	0.993274852846025
591.6	0.99320085423373
591.8	0.992701394656859
592	0.991895940313179
592.2	0.990958018241468
592.4	0.990082650220438
592.6	0.98945162770262
592.8	0.98920272758009
593	0.98940755977604
593.2	0.990060882577239
593.4	0.991082375726438
593.6	0.992330202517919
593.8	0.993624198137583
594	0.994775165638426
594.2	0.995615669675734
594.4	0.9960271964616
594.6	0.995958929617594
594.8	0.995434806331965
595	0.994547784580682
595.2	0.993442766579277
595.4	0.99229170633014
595.6	0.991265572823066
595.8	0.9905078980678
596	0.990113844440066
596.2	0.990117466659753
596.4	0.990488481114951
596.6	0.991138586493309
596.8	0.991936239712589
597	0.992727753709442
597.2	0.993361678088942
597.4	0.993712790109829
597.6	0.993701884717348
597.8	0.993308096396141
598	0.99257172837475
598.2	0.991587279067529
598.4	0.990488125812935
598.6	0.989425709009471
598.8	0.988546758277036
599	0.987972072045381
599.2	0.987779768132961
599.4	0.987995026559119
599.6	0.988587374679689
599.8	0.989475639469398
600	0.990539832709817
600.2	0.991638425757741
600.4	0.992628729616319
600.6	0.993387519700819
600.8	0.993828840925417
601	0.993916197767548
601.2	0.993667166620602
601.4	0.993149737643476
601.6	0.992471118355307
601.8	0.99176097132945
602	0.991151841500319
602.2	0.990759745891629
602.4	0.990667612527141
602.6	0.990913642777656
602.8	0.991485923527955
603	0.992323829561367
603.2	0.99332600161301
603.4	0.994363949916453
603.6	0.995299620402195
603.8	0.996004633705802
604	0.996378496863676
604.2	0.996363054450562
604.4	0.995950900991436
604.6	0.995186403172976
604.8	0.994159211022801
605	0.992991392563576
605.2	0.991820313609831
605.4	0.990779907474167
605.6	0.989982978209699
605.8	0.989506846859757
606	0.989384013112217
606.2	0.98959880944041
606.4	0.990090338281721
606.6	0.990761303667016
606.8	0.99149170412811
607	0.992155739390882
607.2	0.992639747774367
607.4	0.992858675911514
607.6	0.99276862414751
607.8	0.992373494202604
608	0.991724657460561
608.2	0.99091369734646
608.4	0.990059399694473
608.6	0.989290999637126
608.8	0.988730173892644
609	0.988474265405604
609.2	0.988582880856816
609.4	0.989069458637731
609.6	0.989898780150147
609.8	0.990990753295483
610	0.992230138497007
610.2	0.993481200823248
610.4	0.994605577225681
610.6	0.995481050267472
610.8	0.996018553147473
611	0.996174778787355
611.2	0.995958302071383
611.4	0.995428121422032
611.6	0.994684785832526
611.8	0.993855503857939
612	0.99307555331425
612.2	0.992468761032684
612.4	0.992129784653543
612.6	0.992110520981281
612.8	0.99241238154767
613	0.992985441480056
613.2	0.993734711601883
613.4	0.994532981429808
613.6	0.995238823825854
613.8	0.995717499801754
614	0.995861807088575
614.2	0.995609599150849
614.4	0.99495496051058
614.6	0.993950944297438
614.8	0.992703198552799
615	0.991355395035326
615.2	0.990068765931229
615.4	0.988998931076457
615.6	0.988273459535399
615.8	0.987973302503458
616	0.988120607767522
616.2	0.988674621080373
616.4	0.989536489778232
616.6	0.990562802843623
616.8	0.99158656049193
617	0.992443009855958
617.2	0.99299660589036
617.4	0.993164598891717
617.6	0.99293279582928
617.8	0.992360108265087
618	0.991570466561174
618.2	0.990733080432558
618.4	0.99003422244668
618.6	0.989645176656605
618.8	0.989691513468673
619	0.990228558381452
619.2	0.991227096877612
619.4	0.992572216025292
619.6	0.994076731147568
619.8	0.995508722374766
620	0.996630207378856
620.2	0.997241151751545
620.4	0.997220604326097
620.6	0.996555773931917
620.8	0.995351394757316
621	0.99381554179415
621.2	0.992223313347014
621.4	0.990864796085017
621.6	0.989987040463215
621.8	0.989740918077613
622	0.990143146866075
622.2	0.991062156290346
622.4	0.992233985450484
622.6	0.993310385539322
622.8	0.993934832821281
623	0.9938333909456
623.2	0.99289874063856
623.4	0.991241690773197
623.6	0.989189076686942
623.8	0.9872202796894
624	0.985851927376612
624.2	0.985495130168016
624.4	0.98631839798424
624.6	0.988153453668012
624.8	0.990482665315463
625	0.992542067352086
625.2	0.9935509500068
625.4	0.993026935303977
625.6	0.991075491376311
625.8	0.988498881509848
626	0.986599755804052
626.2	0.986658533855815
626.4	0.98919430553991
626.6	0.993268688714085
626.8	0.996332676777394
627	0.995375135449239
627.2	0.989763531205252
627.4	0.984279482286772
627.6	0.987741504080054
627.8	0.996865953342623
628	0.942497313456337
628.2	0.680310775148191
628.4	0.329960250486499
628.6	0.130501676029502
628.8	0.0512491027735709
629	0.0213248653332701
629.2	0.00947441849009563
629.4	0.00446547674079524
629.6	0.00221423291646269
629.8	0.00114665760608855
630	0.000616451397029668
630.2	0.000342395459914855
630.4	0.000195719411400779
630.6	0.00011477313576844
630.8	6.8866924864469e-05
631	4.21886542116317e-05
631.2	2.6338603102357e-05
631.4	1.67308012611701e-05
631.6	1.07988427124395e-05
631.8	7.07393407775409e-06
632	4.69806217533825e-06
632.2	3.16048885511728e-06
632.4	2.15186965545431e-06
632.6	1.48180207835075e-06
632.8	1.03132540977489e-06
633	7.25068652580123e-07
633.2	5.14649058491978e-07
633.4	3.68624038260058e-07
633.6	2.6632180750336e-07
633.8	1.94002271272746e-07
634	1.42437596506679e-07
634.2	1.05369190836908e-07
634.4	1e-07
634.6	1e-07
634.8	1e-07
635	1e-07
635.2	1e-07
635.4	1e-07
635.6	1e-07
635.8	1e-07
636	1e-07
636.2	1e-07
636.4	1e-07
636.6	1e-07
636.8	1e-07
637	1e-07
637.2	1e-07
637.4	1e-07
637.6	1e-07
637.8	1e-07
638	1e-07
638.2	1e-07
638.4	1e-07
638.6	1e-07
638.8	1e-07
639	1e-07
639.2	1e-07
639.4	1e-07
639.6	1e-07
639.8	1e-07
640	1e-07
640.2	1e-07
640.4	1e-07
640.6	1e-07
640.8	1e-07
641	1e-07
641.2	1e-07
641.4	1e-07
641.6	1e-07
641.8	1e-07
642	1e-07
642.2	1e-07
642.4	1e-07
642.6	1e-07
642.8	1e-07
643	1e-07
643.2	1e-07
643.4	1e-07
643.6	1e-07
643.8	1e-07
644	1e-07
644.2	1e-07
644.4	1e-07
644.6	1e-07
644.8	1e-07
645	1e-07
645.2	1e-07
645.4	1e-07
